date,Custody Population,Custody Population %,Community Corrections,Community Corrections %,Other Custody,Other Custody %,At Large,At Large %,Off-Grounds Medical,Off-Grounds Medical %,INMATE TOTAL,INMATE TOTAL %,Parolees,PAROLEES %,TVC Parole,TVC Parole %,Probationers,PROBATIONERS %,TVC Probation,TVC Probation %,PAROLEE AND PROBATIONER TOTAL,PAROLEE AND PROBATIONER TOTAL %,"TOTAL INMATES, PAROLEES, & PROBATIONERS","TOTAL INMATES, PAROLEES, & PROBATIONERS %"
2014-05-01,21148,33.21%,3047,4.79%,495,0.78%,30,0.05%,14,0.02%,24734,38.85%,8057,12.65%,,,30881,48.50%,,,38938,61.15%,63672,100.00%
2014-06-02,20944,32.70%,3002,4.69%,488,0.76%,31,0.05%,10,0.02%,24475,38.21%,8247,12.88%,,,31325,48.91%,,,39572,61.79%,64047,100.00%
2014-07-01,20721,32.20%,2914,4.53%,482,0.75%,31,0.05%,7,0.01%,24155,37.53%,8561,13.30%,,,31642,49.17%,,,40203,62.47%,64358,100.00%
2014-08-01,20636,32.04%,2971,4.61%,478,0.74%,30,0.05%,10,0.02%,24125,37.46%,8483,13.17%,,,31800,49.37%,,,40283,62.54%,64408,100.00%
2014-09-01,19787,30.43%,2804,4.31%,491,0.76%,29,0.04%,8,0.01%,23119,35.56%,9156,14.08%,175,0.27%,32463,49.93%,103,0.16%,41897,64.44%,65016,100.00%
2014-10-01,19787,30.43%,2804,4.31%,491,0.76%,29,0.04%,8,0.01%,23119,35.56%,9156,14.08%,175,0.27%,32463,49.93%,103,0.16%,41897,64.44%,65016,100.00%
2014-11-03,19398,29.65%,2651,4.05%,504,0.77%,28,0.04%,5,0.01%,22586,34.53%,9464,14.47%,257,0.39%,32986,50.43%,120,0.18%,42827,65.47%,65413,100.00%
2014-12-01,19150,29.34%,2461,3.77%,521,0.80%,28,0.04%,12,0.02%,22172,33.96%,9669,14.81%,235,0.36%,33061,50.65%,142,0.22%,43107,66.04%,65279,100.00%
2015-01-05,18859,28.74%,2422,3.69%,519,0.79%,28,0.04%,7,0.01%,21835,33.27%,9821,14.96%,285,0.43%,33529,51.09%,158,0.24%,43793,66.73%,65628,100.00%
2015-02-02,18574,28.31%,2281,3.48%,528,0.80%,27,0.04%,9,0.01%,21419,32.65%,9714,14.81%,283,0.43%,34047,51.89%,145,0.22%,44189,67.35%,65608,100.00%
2015-03-04,18574,28.21%,2250,3.42%,536,0.81%,27,0.04%,7,0.01%,21394,32.49%,9562,14.52%,344,0.52%,34398,52.24%,153,0.23%,44457,67.51%,65851,100.00%
2015-04-01,18594,28.18%,2172,3.29%,535,0.81%,27,0.04%,5,0.01%,21333,32.33%,9407,14.26%,311,0.47%,34778,52.71%,157,0.24%,44653,67.67%,65986,100.00%
2015-05-01,18563,28.08%,2141,3.24%,536,0.81%,27,0.04%,7,0.01%,21274,32.18%,9344,14.13%,350,0.53%,34981,52.91%,164,0.25%,44839,67.82%,66113,100.00%
2015-06-01,18524,28.11%,2045,3.10%,529,0.80%,27,0.04%,9,0.01%,21134,32.07%,9180,13.93%,352,0.53%,35092,53.24%,149,0.23%,44773,67.93%,65907,100.00%
2015-07-06,18474,28.04%,1912,2.90%,529,0.80%,27,0.04%,9,0.01%,20951,31.80%,9097,13.81%,391,0.59%,35295,53.57%,151,0.23%,44934,68.20%,65885,100.00%
2015-08-03,18305,27.80%,1772,2.69%,538,0.82%,27,0.04%,5,0.01%,20647,31.35%,8977,13.63%,414,0.63%,35675,54.17%,142,0.22%,45208,68.65%,65855,100.00%
2015-09-01,18267,27.95%,1708,2.61%,555,0.85%,27,0.04%,8,0.01%,20565,31.47%,8819,13.49%,442,0.68%,35382,54.14%,145,0.22%,44788,68.53%,65353,100.00%
2015-10-03,18412,28.52%,1697,2.63%,545,0.84%,27,0.04%,8,0.01%,20689,32.05%,8559,13.26%,439,0.68%,34707,53.76%,163,0.25%,43868,67.95%,64557,100.00%
2015-11-02,18522,29.04%,1704,2.67%,518,0.81%,27,0.04%,2,0.00%,20773,32.57%,8459,13.26%,375,0.59%,33998,53.31%,170,0.27%,43002,67.43%,63775,100.00%
2015-12-01,18696,29.53%,1648,2.60%,527,0.83%,26,0.04%,11,0.02%,20908,33.02%,8335,13.16%,206,0.33%,33698,53.22%,171,0.27%,42410,66.98%,63318,100.00%
2016-01-04,18626,29.54%,1675,2.66%,524,0.83%,26,0.04%,7,0.01%,20858,33.08%,8340,13.23%,113,0.18%,33617,53.32%,118,0.19%,42188,66.92%,63046,100.00%
2016-02-01,18751,30.14%,1658,2.67%,527,0.85%,26,0.04%,10,0.02%,20972,33.71%,8095,13.01%,81,0.13%,32957,52.98%,103,0.17%,41236,66.29%,62208,100.00%
2016-03-01,18964,31.24%,1669,2.75%,523,0.86%,26,0.04%,11,0.02%,21193,34.91%,7806,12.86%,100,0.16%,31485,51.86%,126,0.21%,39517,65.09%,60710,100.00%
2016-04-01,19080,32.21%,1624,2.74%,523,0.88%,27,0.05%,4,0.01%,21258,35.89%,7499,12.66%,131,0.22%,30192,50.97%,153,0.26%,37975,64.11%,59233,100.00%
2016-05-02,19111,33.14%,1550,2.69%,527,0.91%,27,0.05%,9,0.02%,21224,36.81%,7535,13.07%,144,0.25%,28625,49.65%,131,0.23%,36435,63.19%,57659,100.00%
2016-06-01,19229,33.58%,1498,2.62%,530,0.93%,26,0.05%,9,0.02%,21292,37.19%,7310,12.77%,192,0.34%,28328,49.48%,135,0.24%,35965,62.81%,57257,100.00%
2016-07-08,19496,34.46%,1463,2.59%,529,0.93%,26,0.05%,7,0.01%,21521,38.03%,7143,12.62%,169,0.30%,27609,48.79%,141,0.25%,35062,61.97%,56583,100.00%
2016-08-01,19436,34.67%,1425,2.54%,535,0.95%,26,0.05%,8,0.01%,21430,38.23%,7054,12.58%,181,0.32%,27234,48.59%,153,0.27%,34622,61.77%,56052,100.00%
2016-09-01,19237,34.75%,1377,2.49%,525,0.95%,26,0.05%,8,0.01%,21173,38.24%,7348,13.27%,165,0.30%,26539,47.94%,137,0.25%,34189,61.76%,55362,100.00%
2016-10-03,19179,34.77%,1391,2.52%,526,0.95%,28,0.05%,4,0.01%,21128,38.30%,7458,13.52%,129,0.23%,26321,47.71%,130,0.24%,34038,61.70%,55166,100.00%
2016-11-01,18933,34.63%,1375,2.51%,525,0.96%,28,0.05%,4,0.01%,20865,38.16%,7693,14.07%,126,0.23%,25847,47.27%,143,0.26%,33809,61.84%,54674,100.00%
2016-12-01,18773,34.42%,1356,2.49%,493,0.90%,28,0.05%,8,0.01%,20658,37.88%,7829,14.36%,78,0.14%,25838,47.38%,134,0.25%,33879,62.12%,54537,100.00%
2017-01-03,18833,34.62%,1374,2.53%,511,0.94%,28,0.05%,7,0.01%,20753,38.15%,7787,14.31%,81,0.15%,25635,47.12%,147,0.27%,33650,61.85%,54403,100.00%
2017-02-01,18780,34.57%,1351,2.49%,506,0.93%,28,0.05%,9,0.02%,20674,38.05%,7792,14.34%,59,0.11%,25672,47.25%,131,0.24%,33654,61.95%,54328,100.00%
2017-03-01,18926,35.22%,1355,2.52%,506,0.94%,28,0.05%,9,0.02%,20824,38.75%,7750,14.42%,78,0.15%,24938,46.40%,151,0.28%,32917,61.25%,53741,100.00%
2017-04-03,18976,35.22%,1386,2.57%,498,0.92%,28,0.05%,11,0.02%,20899,38.79%,7894,14.65%,104,0.19%,24827,46.08%,154,0.29%,32979,61.21%,53878,100.00%
2017-05-01,18778,35.03%,1467,2.74%,484,0.90%,28,0.05%,14,0.03%,20771,38.75%,8100,15.11%,113,0.21%,24454,45.62%,170,0.32%,32837,61.25%,53608,100.00%
2017-06-01,18598,34.53%,1491,2.77%,482,0.89%,29,0.05%,5,0.01%,20605,38.26%,8319,15.45%,102,0.19%,24691,45.84%,143,0.27%,33255,61.74%,53860,100.00%
2017-07-05,18570,34.72%,1563,2.92%,467,0.87%,29,0.05%,9,0.02%,20638,38.59%,8424,15.75%,113,0.21%,24172,45.20%,132,0.25%,32841,61.41%,53479,100.00%
2017-08-01,18676,34.95%,1430,2.68%,470,0.88%,30,0.06%,11,0.02%,20617,38.58%,8438,15.79%,108,0.20%,24158,45.21%,117,0.22%,32821,61.42%,53438,100.00%
2017-09-01,18775,35.00%,1377,2.57%,459,0.86%,30,0.06%,11,0.02%,20652,38.50%,8409,15.68%,145,0.27%,24316,45.33%,118,0.22%,32988,61.50%,53640,100.00%
2017-10-10,19012,35.10%,1359,2.51%,455,0.84%,30,0.06%,6,0.01%,20862,38.51%,8630,15.93%,170,0.31%,24414,45.07%,91,0.17%,33305,61.49%,54167,100.00%
2017-11-02,19008,35.05%,1325,2.44%,456,0.84%,30,0.06%,6,0.01%,20825,38.40%,8753,16.14%,166,0.31%,24402,44.99%,87,0.16%,33408,61.60%,54233,100.00%
2017-12-04,19042,35.08%,1340,2.47%,450,0.83%,29,0.05%,12,0.02%,20873,38.45%,8826,16.26%,145,0.27%,24348,44.85%,92,0.17%,33411,61.55%,54284,100.00%
2018-01-02,18964,35.02%,1340,2.47%,457,0.84%,29,0.05%,10,0.02%,20800,38.41%,8895,16.43%,149,0.28%,24223,44.74%,79,0.15%,33346,61.59%,54146,100.00%
2018-02-01,18946,35.39%,1299,2.43%,450,0.84%,29,0.05%,14,0.03%,20738,38.74%,8779,16.40%,116,0.22%,23831,44.52%,70,0.13%,32796,61.26%,53534,100.00%
2018-03-01,19052,35.46%,1329,2.47%,450,0.84%,29,0.05%,16,0.03%,20876,38.86%,8726,16.24%,126,0.23%,23920,44.52%,77,0.14%,32849,61.14%,53725,100.00%
2018-04-02,19107,35.62%,1349,2.52%,445,0.83%,28,0.05%,9,0.02%,20938,39.04%,8622,16.08%,158,0.29%,23835,44.44%,81,0.15%,32696,60.96%,53634,100.00%
2018-05-01,19215,35.79%,1348,2.51%,444,0.83%,28,0.05%,14,0.03%,21049,39.21%,8651,16.11%,192,0.36%,23699,44.15%,93,0.17%,32635,60.79%,53684,100.00%
2018-06-01,19270,35.78%,1342,2.49%,448,0.83%,27,0.05%,11,0.02%,21098,39.17%,8725,16.20%,220,0.41%,23709,44.02%,109,0.20%,32763,60.83%,53861,100.00%
2018-07-02,19377,35.92%,1371,2.54%,445,0.83%,26,0.05%,12,0.02%,21231,39.36%,8667,16.07%,240,0.44%,23701,43.94%,100,0.19%,32708,60.64%,53939,100.00%
2018-08-01,19131,35.70%,1340,2.50%,453,0.85%,27,0.05%,11,0.02%,20962,39.12%,8788,16.40%,257,0.48%,23476,43.81%,102,0.19%,32623,60.88%,53585,100.00%
2018-09-04,19234,36.03%,1361,2.55%,445,0.83%,26,0.05%,12,0.02%,21078,39.48%,8720,16.33%,288,0.54%,23166,43.40%,131,0.25%,32305,60.52%,53383,100.00%
2018-10-01,19201,35.92%,1384,2.59%,458,0.86%,26,0.05%,11,0.02%,21080,39.43%,8763,16.39%,325,0.61%,23157,43.32%,133,0.25%,32378,60.57%,53458,100.00%
2018-11-01,19306,36.15%,1360,2.55%,465,0.87%,25,0.05%,18,0.03%,21174,39.65%,8730,16.35%,357,0.67%,23021,43.11%,122,0.23%,32230,60.35%,53404,100.00%
2018-12-01,19187,35.92%,1371,2.57%,486,0.91%,25,0.05%,13,0.02%,21082,39.46%,8835,16.54%,295,0.55%,23075,43.19%,135,0.25%,32340,60.54%,53422,100.00%
2019-01-02,19136,35.72%,1376,2.57%,467,0.87%,25,0.05%,11,0.02%,21015,39.22%,8834,16.49%,328,0.61%,23284,43.46%,116,0.22%,32562,60.78%,53577,100.00%
2019-02-01,19033,35.48%,1359,2.53%,466,0.87%,25,0.05%,10,0.02%,20893,38.95%,8857,16.51%,307,0.57%,23469,43.75%,115,0.21%,32748,61.05%,53641,100.00%
2019-03-01,19159,35.49%,1372,2.54%,481,0.89%,25,0.05%,7,0.01%,21044,38.99%,8853,16.40%,306,0.57%,23661,43.84%,113,0.21%,32933,61.01%,53977,100.00%
2019-04-01,19258,35.59%,1400,2.59%,490,0.91%,25,0.05%,10,0.02%,21183,39.15%,8778,16.22%,315,0.58%,23690,43.79%,139,0.26%,32922,60.85%,54105,100.00%
2019-05-01,19356,35.60%,1422,2.62%,502,0.92%,25,0.05%,9,0.02%,21314,39.20%,8834,16.25%,258,0.47%,23824,43.81%,147,0.27%,33063,60.80%,54377,100.00%
2019-06-03,19307,35.50%,1419,2.61%,487,0.90%,24,0.04%,6,0.01%,21243,39.06%,8827,16.23%,293,0.54%,23888,43.92%,141,0.26%,33149,60.94%,54392,100.00%
2019-07-01,19237,35.14%,1427,2.61%,476,0.87%,24,0.04%,8,0.01%,21172,38.67%,8902,16.26%,281,0.51%,24251,44.30%,141,0.26%,33575,61.33%,54747,100.00%
2019-08-01,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-01,,,,,,,,,,,,,,,,,,,,,,,,
