date,MSP,MSP_TVC,CMCF,CMCF_TVC,YOU,SMCI,SMCI_TVC,county_jails,community_work_centers,REGIONAL_CORRECTIONAL_FACILITIES,PRIVATE_PRISONS,RESTITUTION_CENTERS,TRANSITIONAL_HOUSING,Governor's_Mansion,E-CODE
2007-01-12,4513,,3327,,,2281,,1922,1601,3060,4854,10,,5,125
2007-01-13,4506,,3334,,,2278,,1922,1599,3056,4846,10,,5,125
2007-01-14,4504,,3335,,,2276,,1922,1600,3054,4844,10,,5,123
2007-01-15,4502,,3331,,,2274,,1924,1710,3049,4843,12,,5,8
2007-01-16,4497,,3345,,,2263,,1902,1737,3050,4844,12,,5,8
2007-01-17,4492,,3368,,,2287,,1880,1731,3046,4851,12,,5,9
2007-01-18,4487,,3393,,,2299,,1866,1725,3056,4845,12,,5,10
2007-01-19,4473,,3350,,,2281,,1886,1658,3065,4847,11,,5,97
2007-01-20,4465,,3349,,,2281,,1886,1657,3061,4843,11,,5,96
2007-01-21,4462,,3351,,,2281,,1886,1655,3060,4842,11,,5,96
2007-01-22,4480,,3349,,,2260,,1875,1741,3072,4853,12,,5,8
2007-01-23,4477,,3355,,,2261,,1868,1748,3056,4851,12,,5,8
2007-01-24,4500,,3394,,,2255,,1826,1740,3051,4847,12,,5,8
2007-01-25,4519,,3347,,,2279,,1822,1752,3057,4843,12,,5,10
2007-01-26,4504,,3380,,,2289,,1809,1682,3054,4840,12,,5,81
2007-01-27,4503,,3381,,,2289,,1809,1671,3051,4835,12,,5,79
2007-01-28,4505,,3384,,,2288,,1809,1674,3052,4837,12,,5,80
2007-01-29,4519,,3381,,,2268,,1809,1749,3055,4836,12,,5,5
2007-01-30,4514,,3389,,,2258,,1813,1754,3074,4828,12,,5,8
2007-02-01,4512,,3399,,,2270,,1781,1755,3078,4846,12,,5,9
2007-02-02,4506,,3422,,,2262,,1763,1705,3074,4853,11,,5,58
2007-02-03,4501,,3421,,,2261,,1763,1701,3072,4849,11,,5,60
2007-02-04,4498,,3418,,,2259,,1763,1698,3070,4849,11,,5,60
2007-02-05,4495,,3402,,,2249,,1822,1757,3067,4854,12,,5,9
2007-02-06,4498,,3398,,,2262,,1861,1758,3071,4856,12,,5,6
2007-02-07,4503,,3419,,,2262,,1890,1752,3065,4848,14,,5,5
2007-02-08,4487,,3422,,,2285,,1883,1755,3071,4847,14,,5,6
2007-02-09,4474,,3430,,,2297,,1883,1688,3071,4840,14,,5,68
2007-02-10,4471,,3428,,,2295,,1883,1684,3070,4838,14,,5,69
2007-02-11,4469,,3427,,,2296,,1883,1683,3067,4837,14,,5,67
2007-02-12,4478,,3403,,,2304,,1879,1751,3066,4850,14,,5,7
2007-02-13,4478,,3436,,,2284,,1899,1744,3066,4846,13,,5,10
2007-02-14,4495,,3421,,,2304,,1876,1761,3052,4849,13,,5,7
2007-02-15,4499,,3386,,,2300,,1910,1761,3070,4856,13,,5,5
2007-02-16,4475,,3370,,,2318,,1966,1674,3077,4843,12,,5,86
2007-02-17,4472,,3370,,,2316,,1966,1670,3075,4836,12,,5,86
2007-02-18,4471,,3368,,,2313,,1966,1669,3074,4833,12,,5,86
2007-02-19,4470,,3367,,,2312,,1967,1748,3072,4833,13,,5,5
2007-02-20,4459,,3353,,,2308,,1954,1759,3069,4875,12,,5,3
2007-02-21,4469,,3363,,,2303,,1942,1761,3069,4884,12,,5,2
2007-02-22,4456,,3424,,,2305,,1900,1763,3071,4881,12,,5,4
2007-02-23,4453,,3435,,,2281,,1880,1699,3071,4881,12,,5,63
2007-02-24,4453,,3433,,,2279,,1880,1698,3065,4879,12,,5,62
2007-02-25,4451,,3432,,,2277,,1880,1699,3064,4879,12,,5,62
2007-02-26,4444,,3472,,,2275,,1853,1758,3053,4892,12,,5,5
2007-02-27,4449,,3478,,,2273,,1827,1771,3067,4902,12,,5,4
2007-02-28,4453,,3441,,,2310,,1807,1771,3074,4905,12,,5,5
2007-03-01,4453,,3460,,,2322,,1802,1767,3066,4896,12,,5,8
2007-03-02,4406,,3463,,,2351,,1829,1712,3063,4902,12,,5,62
2007-03-03,4403,,3462,,,2351,,1829,1711,3060,4902,12,,5,60
2007-03-04,4401,,3461,,,2350,,1829,1711,3059,4900,12,,5,60
2007-03-05,4420,,3443,,,2346,,1831,1768,3064,4906,12,,5,4
2007-03-06,4425,,3445,,,2359,,1846,1767,3070,4902,12,,5,7
2007-03-07,4420,,3473,,,2363,,1847,1764,3074,4906,12,,5,8
2007-03-08,4425,,3448,,,2379,,1890,1757,3073,4910,12,,5,4
2007-03-09,4448,,3417,,,2370,,1899,1729,3075,4906,10,,5,57
2007-03-10,4445,,3415,,,2368,,1899,1727,3075,4904,10,,5,60
2007-03-11,4448,,3412,,,2367,,1899,1722,3075,4899,10,,5,59
2007-03-12,4428,,3431,,,2393,,1892,1753,3071,4908,12,,5,2
2007-03-13,4463,,3433,,,2386,,1859,1749,3067,4921,12,,5,6
2007-03-14,4472,,3455,,,2394,,1892,1739,3062,4921,12,,5,5
2007-03-15,4459,,3448,,,2387,,1918,1754,3067,4914,12,,5,5
2007-03-16,4453,,3457,,,2376,,1922,1679,3069,4913,12,,5,72
2007-03-17,4448,,3453,,,2375,,1922,1673,3066,4910,12,,5,72
2007-03-18,4447,,3450,,,2374,,1922,1672,3065,4907,12,,5,72
2007-03-19,4440,,3445,,,2397,,1946,1750,3066,4909,12,,5,3
2007-03-20,4451,,3422,,,2407,,1932,1764,3076,4917,12,,5,1
2007-03-21,4450,,3419,,,2406,,1956,1760,3069,4909,12,,5,2
2007-03-22,4438,,3416,,,2403,,2004,1757,3062,4901,12,,5,4
2007-03-23,4448,,3419,,,2395,,1991,1727,3071,4908,13,,5,29
2007-03-24,4442,,3416,,,2391,,1991,1725,3069,4908,13,,5,28
2007-03-25,4439,,3417,,,2390,,1991,1722,3069,4907,13,,5,27
2007-03-26,4451,,3422,,,2388,,1963,1751,3072,4891,13,,5,4
2007-03-27,4476,,3457,,,2391,,1959,1758,3071,4888,13,,5,7
2007-03-28,4503,,3477,,,2385,,1941,1760,3066,4883,12,,5,8
2007-03-29,4516,,3464,,,2393,,1931,1766,3069,4885,12,,5,6
2007-03-30,4517,,3454,,,2404,,1909,1728,3071,4892,12,,5,44
2007-03-31,4513,,3450,,,2400,,1909,1725,3063,4890,12,,5,44
2007-04-01,4510,,3450,,,2400,,1909,1724,3063,4888,12,,5,43
2007-04-02,4516,,3452,,,2392,,1909,1753,3076,4889,12,,5,5
2007-04-03,4511,,3441,,,2406,,1903,1766,3072,4894,12,,5,9
2007-04-04,4510,,3482,,,2412,,1920,1745,3072,4892,11,,5,11
2007-04-05,4504,,3492,,,2385,,1894,1749,3071,4893,11,,5,10
2007-04-06,4523,,3410,,,2405,,1909,1737,3072,4896,10,,5,37
2007-04-07,4517,,3407,,,2400,,1909,1734,3069,4894,10,,5,37
2007-04-08,4513,,3408,,,2399,,1909,1732,3069,4894,10,,5,0
2007-04-09,4494,,3411,,,2400,,1921,1747,3070,4902,10,,5,8
2007-04-10,4515,,3395,,,2418,,1932,1750,3074,4903,10,,5,6
2007-04-11,4512,,3420,,,2419,,1920,1756,3074,4898,10,,5,7
2007-04-12,4521,,3423,,,2430,,1921,1750,3074,4905,10,,5,5
2007-04-13,4508,,3449,,,2409,,1907,1735,3072,4899,9,,5,25
2007-04-14,4504,,3448,,,2406,,1907,1734,3071,4898,9,,5,24
2007-04-15,4496,,3446,,,2407,,1907,1733,3069,4898,9,,5,24
2007-04-16,4502,,3449,,,2431,,1860,1750,3070,4892,9,,5,8
2007-04-17,4520,,3474,,,2423,,1839,1748,3071,4893,9,,5,5
2007-04-18,4522,,3481,,,2436,,1799,1751,3067,4902,11,,5,7
2007-04-19,4528,,3444,,,2466,,1806,1754,3072,4895,11,,5,8
2007-04-20,4530,,3424,,,2479,,1844,1714,3064,4898,11,,5,37
2007-04-21,4529,,3423,,,2479,,1844,1713,3057,4890,11,,5,38
2007-04-22,4524,,3423,,,2478,,1844,1714,3055,4889,11,,5,37
2007-04-23,4523,,3453,,,2472,,1831,1747,3063,4880,11,,5,9
2007-04-24,4516,,3484,,,2466,,1803,1746,3067,4875,11,,5,12
2007-04-25,4527,,3472,,,2493,,1778,1757,3061,4863,11,,5,15
2007-04-26,4513,,3447,,,2495,,1784,1772,3072,4881,11,,5,15
2007-04-27,4516,,3417,,,2495,,1832,1740,3072,4881,11,,5,42
2007-04-28,4511,,3416,,,2492,,1832,1739,3070,4881,11,,5,43
2007-04-29,4507,,3415,,,2490,,1832,1738,3068,4880,11,,5,42
2007-04-30,4507,,3415,,,2490,,1831,1767,3065,4875,11,,5,11
2007-05-01,4511,,3404,,,2478,,1816,1778,3072,4883,11,,5,10
2007-05-02,4521,,3421,,,2468,,1814,1774,3069,4888,11,,5,12
2007-05-03,4536,,3419,,,2465,,1810,1769,3079,4878,11,,5,10
2007-05-04,4526,,3399,,,2447,,1826,1750,3076,4888,11,,5,34
2007-05-05,4519,,3400,,,2448,,1826,1746,3073,4885,11,,5,35
2007-05-06,4511,,3397,,,2448,,1826,1746,3069,4882,11,,5,34
2007-05-07,4499,,3416,,,2452,,1822,1766,3073,4881,11,,5,12
2007-05-08,4493,,3414,,,2485,,1816,1768,3079,4880,11,,5,12
2007-05-09,4502,,3425,,,2480,,1819,1763,3079,4888,11,,5,14
2007-05-10,4490,,3434,,,2504,,1813,1767,3074,4884,12,,5,7
2007-05-11,4495,,3434,,,2515,,1798,1736,3071,4885,11,,5,41
2007-05-12,4493,,3435,,,2511,,1798,1734,3069,4885,11,,5,40
2007-05-13,4489,,3436,,,2510,,1798,1733,3066,4882,11,,5,39
2007-05-14,4490,,3434,,,2508,,1789,1762,3063,4890,12,,5,8
2007-05-15,4498,,3425,,,2526,,1787,1757,3075,4888,12,,5,9
2007-05-16,4485,,3438,,,2541,,1766,1750,3072,4891,12,,5,6
2007-05-17,4490,,3468,,,2537,,1761,1748,3075,4873,12,,5,5
2007-05-18,4503,,3435,,,2535,,1762,1670,3080,4874,11,,5,86
2007-05-19,4499,,3437,,,2535,,1762,1667,3078,4870,11,,5,85
2007-05-20,4496,,3436,,,2534,,1762,1667,3077,4864,11,,5,86
2007-05-21,4480,,3453,,,2556,,1786,1745,3075,4858,12,,5,5
2007-05-22,4500,,3432,,,2572,,1787,1748,3080,4860,10,,5,6
2007-05-23,4512,,3428,,,2571,,1771,1745,3080,4876,10,,5,7
2007-05-24,4516,,3409,,,2580,,1804,1742,3077,4865,10,,5,6
2007-05-25,4533,,3357,,,2579,,1828,1740,3079,4869,10,,5,5
2007-05-26,4527,,3355,,,2579,,1828,1735,3078,4866,10,,5,6
2007-05-27,4524,,3355,,,2579,,1828,1734,3077,4865,10,,5,6
2007-05-28,4521,,3355,,,2575,,1829,1730,3077,4864,10,,5,9
2007-05-29,4520,,3375,,,2570,,1807,1735,3075,4869,10,,5,9
2007-05-30,4512,,3383,,,2582,,1793,1731,3074,4869,12,,5,7
2007-05-31,4527,,3365,,,2602,,1788,1729,3074,4870,12,,5,7
2007-06-01,4538,,3359,,,2586,,1804,1631,3074,4877,12,,5,109
2007-06-02,4536,,3356,,,2586,,1804,1630,3071,4870,12,,5,109
2007-06-03,4535,,3356,,,2587,,1804,1626,3070,4870,12,,5,109
2007-06-04,4526,,3366,,,2573,,1811,1740,3058,4871,11,,5,9
2007-06-05,4513,,3372,,,2576,,1830,1750,3061,4874,11,,5,8
2007-06-06,4542,,3351,,,2566,,1838,1760,3065,4875,10,,5,8
2007-06-07,4559,,3337,,,2570,,1873,1759,3069,4870,10,,5,8
2007-06-08,4539,,3328,,,2574,,1907,1697,3080,4882,10,,5,71
2007-06-09,4541,,3327,,,2573,,1907,1694,3078,4881,9,,5,69
2007-06-10,4538,,3330,,,2570,,1907,1691,3076,4881,9,,5,67
2007-06-11,4533,,3347,,,2585,,1899,1743,3070,4872,10,,5,10
2007-06-12,4552,,3374,,,2572,,1877,1739,3069,4866,10,,5,9
2007-06-13,4545,,3375,,,2556,,1863,1743,3072,4869,10,,5,8
2007-06-14,4531,,3376,,,2572,,1899,1750,3072,4878,10,,5,10
2007-06-15,4544,,3362,,,2579,,1878,1699,3074,4876,10,,5,63
2007-06-16,4540,,3364,,,2577,,1878,1699,3072,4874,10,,5,61
2007-06-17,4540,,3363,,,2575,,1878,1697,3072,4874,10,,5,61
2007-06-18,4524,,3372,,,2591,,1862,1747,3075,4878,10,,5,7
2007-06-19,4502,,3388,,,2598,,1852,1755,3077,4898,10,,5,7
2007-06-20,4488,,3410,,,2604,,1851,1761,3072,4905,10,,5,8
2007-06-21,4496,,3417,,,2598,,1851,1764,3076,4904,10,,5,11
2007-06-22,4499,,3412,,,2601,,1864,1706,3077,4898,10,,5,76
2007-06-23,4492,,3412,,,2599,,1864,1703,3072,4897,10,,5,74
2007-06-24,4490,,3413,,,2599,,1864,1701,3070,4895,10,,5,70
2007-06-25,4481,,3407,,,2591,,1866,1759,3076,4899,10,,5,12
2007-06-26,4483,,3407,,,2601,,1858,1758,3078,4908,10,,5,12
2007-06-27,4483,,3436,,,2603,,1845,1756,3071,4905,10,,5,12
2007-06-28,4497,,3428,,,2593,,1834,1757,3068,4902,12,,5,14
2007-06-29,4505,,3403,,,2599,,1833,1780,3073,4902,12,,5,17
2007-06-30,4501,,3403,,,2598,,1833,1778,3070,4898,12,,5,17
2007-07-01,4500,,3404,,,2595,,1833,1775,3070,4896,12,,5,16
2007-07-02,4520,,3396,,,2588,,1839,1773,3069,4890,12,,5,13
2007-07-03,4521,,3371,,,2595,,1863,1767,3070,4901,12,,5,11
2007-07-04,4514,,3366,,,2592,,1865,1765,3067,4900,12,,5,11
2007-07-05,4515,,3377,,,2591,,1879,1765,3056,4893,11,,5,11
2007-07-06,4498,,3370,,,2604,,1878,1769,3066,4887,11,,5,11
2007-07-07,4495,,3368,,,2601,,1878,1766,3062,4885,11,,5,11
2007-07-08,4494,,3369,,,2598,,1878,1762,3058,4880,11,,5,13
2007-07-09,4491,,3382,,,2594,,1851,1759,3063,4891,11,,5,15
2007-07-10,4491,,3369,,,2616,,1818,1785,3069,4894,12,,5,12
2007-07-11,4497,,3390,,,2612,,1830,1786,3071,4882,12,,5,12
2007-07-12,4487,,3415,,,2625,,1807,1780,3063,4889,12,,5,11
2007-07-13,4484,,3417,,,2604,,1817,1672,3065,4883,11,,5,115
2007-07-14,4480,,3413,,,2604,,1817,1670,3061,4883,11,,5,115
2007-07-15,4478,,3412,,,2603,,1817,1671,3059,4881,12,,5,113
2007-07-16,4470,,3420,,,2612,,1823,1779,3061,4875,12,,5,7
2007-07-17,4455,,3430,,,2621,,1814,1783,3064,4880,12,,5,8
2007-07-18,4450,,3455,,,2619,,1802,1786,3051,4895,12,,5,10
2007-07-19,4461,,3446,,,2611,,1813,1790,3057,4888,12,,5,13
2007-07-20,4456,,3430,,,2625,,1822,1708,3061,4885,12,,5,87
2007-07-21,4447,,3426,,,2621,,1822,1708,3060,4884,12,,5,86
2007-07-22,4445,,3425,,,2618,,1822,1707,3058,4882,12,,5,86
2007-07-23,4461,,3455,,,2607,,1837,1777,3060,4870,12,,5,14
2007-07-24,4446,,3483,,,2600,,1807,1787,3062,4862,12,,5,12
2007-07-25,4484,,3477,,,2629,,1773,1788,3066,4831,12,,5,16
2007-07-26,4480,,3495,,,2651,,1772,1778,3073,4803,12,,5,15
2007-07-27,4482,,3448,,,2708,,1787,1736,3075,4769,12,,5,0
2007-07-28,4480,,3451,,,2703,,1787,1734,3072,4766,12,,5,0
2007-07-29,4480,,3449,,,2702,,1787,1732,3069,4765,12,,5,0
2007-07-30,4477,,3437,,,2715,,1780,1765,3066,4777,12,,5,10
2007-07-31,4462,,3452,,,2706,,1784,1772,3067,4779,12,,5,10
2007-08-01,4479,,3486,,,2655,,1782,1777,3062,4780,11,,5,10
2007-08-02,4481,,3469,,,2629,,1784,1788,3076,4780,11,,5,11
2007-08-03,4479,,3454,,,2645,,1779,1749,3075,4787,13,,5,49
2007-08-04,4475,,3454,,,2642,,1779,1748,3070,4786,13,,5,50
2007-08-05,4472,,3449,,,2643,,1779,1747,3070,4784,13,,5,49
2007-08-06,4472,,3447,,,2650,,1787,1783,3077,4767,13,,5,15
2007-08-07,4466,,3470,,,2637,,1769,1788,3077,4778,13,,5,14
2007-08-08,4480,,3459,,,2640,,1763,1789,3075,4776,13,,4,13
2007-08-09,4472,,3496,,,2639,,1783,1784,3074,4757,13,,4,14
2007-08-10,4473,,3457,,,2656,,1772,1764,3075,4774,13,,4,36
2007-08-11,4470,,3453,,,2655,,1771,1761,3072,4771,13,,4,37
2007-08-12,4469,,3453,,,2656,,1772,1760,3072,4770,13,,4,36
2007-08-13,4466,,3470,,,2656,,1774,1778,3076,4776,13,,4,13
2007-08-14,4477,,3457,,,2669,,1767,1777,3081,4774,13,,4,14
2007-08-15,4483,,3475,,,2673,,1757,1772,3081,4773,13,,4,8
2007-08-16,4467,,3465,,,2684,,1764,1773,3079,4786,13,,5,6
2007-08-17,4479,,3443,,,2661,,1773,1772,3076,4777,13,,5,32
2007-08-18,4474,,3442,,,2657,,1773,1770,3076,4774,13,,5,31
2007-08-19,4473,,3441,,,2655,,1773,1768,3073,4773,13,,5,31
2007-08-20,4481,,3385,,,2664,,1773,1785,3074,4774,12,,5,6
2007-08-21,4479,,3411,,,2672,,1781,1781,3077,4782,14,,5,6
2007-08-22,4492,,3403,,,2684,,1793,1768,3074,4785,14,,5,6
2007-08-23,4471,,3421,,,2704,,1782,1763,3066,4794,14,,5,10
2007-08-24,4480,,3390,,,2761,,1791,1715,3065,4772,14,,5,48
2007-08-25,4477,,3389,,,2759,,1791,1715,3063,4770,14,,5,47
2007-08-26,4476,,3387,,,2756,,1791,1712,3060,4769,14,,5,47
2007-08-27,4463,,3410,,,2752,,1785,1751,3072,4768,13,,5,7
2007-08-28,4463,,3401,,,2756,,1758,1778,3076,4774,13,,5,10
2007-08-29,4463,,3403,,,2778,,1747,1770,3068,4781,13,,5,11
2007-08-30,4455,,3409,,,2781,,1768,1776,3071,4787,13,,5,9
2007-08-31,4461,,3380,,,2758,,1800,1765,3077,4786,13,,5,6
2007-09-01,4457,,3379,,,2756,,1800,1763,3075,4784,13,,5,6
2007-09-02,4455,,3378,,,2755,,1800,1762,3074,4784,13,,5,7
2007-09-03,4454,,3379,,,2755,,1801,1759,3070,4781,13,,5,8
2007-09-04,4458,,3396,,,2756,,1798,1762,3071,4778,13,,5,9
2007-09-05,4451,,3407,,,2756,,1811,1772,3071,4767,13,,5,10
2007-09-06,4444,,3412,,,2766,,1824,1774,3070,4765,14,,5,10
2007-09-07,4445,,3405,,,2772,,1829,1729,3078,4768,14,,5,54
2007-09-08,4437,,3400,,,2768,,1829,1728,3077,4762,14,,5,55
2007-09-09,4435,,3398,,,2768,,1829,1728,3075,4760,14,,5,54
2007-09-10,4432,,3411,,,2771,,1843,1768,3073,4751,14,,5,10
2007-09-11,4422,,3428,,,2778,,1825,1764,3075,4768,14,,5,10
2007-09-12,4434,,3448,,,2777,,1814,1768,3069,4754,14,,5,9
2007-09-13,4440,,3463,,,2771,,1856,1752,3076,4751,14,,5,12
2007-09-14,4432,,3465,,,2776,,1837,1724,3080,4763,14,,5,50
2007-09-15,4429,,3466,,,2778,,1837,1718,3077,4760,14,,5,51
2007-09-16,4425,,3465,,,2776,,1837,1716,3076,4759,14,,5,49
2007-09-17,4409,,3463,,,2782,,1862,1780,3084,4762,14,,5,6
2007-09-18,4425,,3475,,,2784,,1846,1782,3074,4764,14,,5,6
2007-09-19,4439,,3460,,,2795,,1874,1775,3081,4768,14,,5,7
2007-09-20,4421,,3464,,,2808,,1895,1779,3085,4760,13,,5,9
2007-09-21,4431,,3437,,,2795,,1916,1711,3084,4773,12,,5,71
2007-09-22,4431,,3433,,,2793,,1916,1708,3082,4771,12,,5,72
2007-09-23,4426,,3433,,,2793,,1916,1707,3080,4770,12,,5,72
2007-09-24,4425,,3443,,,2796,,1930,1766,3078,4779,13,,5,8
2007-09-25,4429,,3435,,,2787,,1916,1779,3086,4784,13,,5,7
2007-09-26,4410,,3470,,,2800,,1890,1768,3088,4778,14,,5,7
2007-09-27,4428,,3461,,,2814,,1905,1755,3082,4790,13,,5,7
2007-09-28,4437,,3485,,,2811,,1905,1716,3078,4785,13,,5,36
2007-09-29,4435,,3482,,,2809,,1905,1714,3075,4785,13,,5,37
2007-09-30,4431,,3483,,,2808,,1905,1711,3069,4775,13,,5,38
2007-10-01,4435,,3487,,,2797,,1883,1735,3084,4777,13,,5,8
2007-10-02,4427,,3455,,,2804,,1904,1761,3084,4769,13,,5,7
2007-10-03,4423,,3499,,,2797,,1880,1757,3080,4771,13,,5,8
2007-10-04,4416,,3487,,,2839,,1895,1758,3083,4760,13,,5,9
2007-10-05,4394,,3466,,,2841,,1894,1725,3084,4765,13,,5,71
2007-10-06,4392,,3465,,,2841,,1894,1722,3081,4765,13,,5,72
2007-10-07,4389,,3465,,,2842,,1894,1717,3081,4765,13,,5,71
2007-10-08,4364,,3465,,,2875,,1901,1772,3074,4771,13,,5,11
2007-10-09,4365,,3487,,,2877,,1894,1771,3082,4770,13,,5,8
2007-10-10,4354,,3462,,,2900,,1910,1781,3086,4776,13,,5,8
2007-10-11,4350,,3468,,,2920,,1910,1777,3089,4766,13,,5,7
2007-10-12,4370,,3435,,,2923,,1901,1737,3087,4776,12,,5,59
2007-10-13,4367,,3436,,,2919,,1901,1735,3084,4773,12,,5,60
2007-10-14,4364,,3437,,,2921,,1901,1733,3081,4772,12,,5,56
2007-10-15,4357,,3438,,,2921,,1907,1784,3079,4778,12,,5,4
2007-10-16,4365,,3467,,,2910,,1916,1781,3080,4776,12,,5,6
2007-10-17,4367,,3472,,,2925,,1903,1778,3084,4780,12,,5,4
2007-10-18,4371,,3465,,,2941,,1901,1777,3080,4783,10,,5,5
2007-10-19,4364,,3459,,,2944,,1923,1717,3079,4781,9,,5,58
2007-10-20,4362,,3457,,,2941,,1923,1715,3076,4778,9,,5,60
2007-10-21,4359,,3457,,,2941,,1923,1712,3076,4777,9,,5,57
2007-10-22,4339,,3463,,,2930,,1966,1756,3075,4788,9,,5,8
2007-10-23,4335,,3453,,,2951,,1962,1762,3080,4797,9,,5,5
2007-10-24,4351,,3475,,,2952,,1930,1766,3079,4802,13,,5,8
2007-10-25,4349,,3506,,,2956,,1916,1770,3076,4798,13,,5,7
2007-10-26,4359,,3505,,,2922,,1904,1724,3073,4794,13,,5,60
2007-10-27,4356,,3505,,,2920,,1904,1717,3072,4791,13,,5,62
2007-10-28,4356,,3501,,,2919,,1904,1716,3071,4789,13,,5,62
2007-10-29,4365,,3492,,,2939,,1871,1770,3077,4788,13,,5,12
2007-10-30,4360,,3491,,,2949,,1849,1782,3084,4792,13,,5,9
2007-10-31,4363,,3509,,,2962,,1815,1783,3079,4793,13,,5,9
2007-11-01,4384,,3505,,,2976,,1803,1778,3078,4792,13,,5,9
2007-11-02,4375,,3482,,,2984,,1812,1764,3087,4798,13,,5,37
2007-11-03,4376,,3481,,,2983,,1812,1756,3083,4796,13,,5,39
2007-11-04,4371,,3478,,,2980,,1812,1755,3081,4795,13,,5,40
2007-11-05,4373,,3484,,,2987,,1785,1795,3082,4795,13,,5,9
2007-11-06,4374,,3490,,,3001,,1764,1801,3088,4799,13,,5,6
2007-11-07,4380,,3479,,,3005,,1780,1797,3080,4797,13,,5,8
2007-11-08,4399,,3486,,,3008,,1776,1799,3080,4793,13,,5,10
2007-11-09,4398,,3493,,,3010,,1765,1764,3079,4786,13,,5,47
2007-11-10,4395,,3493,,,3010,,1765,1763,3079,4786,13,,5,46
2007-11-11,4393,,3490,,,3008,,1765,1762,3078,4783,13,,5,46
2007-11-12,4389,,3492,,,3006,,1767,1800,3074,4781,13,,5,6
2007-11-13,4382,,3491,,,2993,,1773,1786,3080,4797,13,,5,8
2007-11-14,4380,,3495,,,3011,,1759,1801,3080,4805,13,,5,8
2007-11-15,4382,,3526,,,2986,,1732,1805,3083,4803,13,,5,6
2007-11-16,4383,,3473,,,3001,,1755,1809,3088,4800,12,,5,6
2007-11-17,4379,,3471,,,2997,,1755,1806,3086,4796,12,,5,6
2007-11-18,4375,,3471,,,2997,,1755,1804,3083,4795,12,,5,6
2007-11-19,4373,,3451,,,3023,,1736,1812,3080,4790,12,,5,7
2007-11-20,4360,,3478,,,3019,,1732,1814,3077,4795,12,,5,9
2007-11-21,4343,,3450,,,3002,,1772,1820,3088,4794,12,,5,9
2007-11-22,4337,,3451,,,2998,,1771,1819,3087,4793,12,,5,9
2007-11-23,4333,,3448,,,2998,,1776,1816,3083,4791,12,,5,8
2007-11-24,4331,,3445,,,2997,,1776,1814,3078,4789,12,,5,9
2007-11-25,4330,,3442,,,2996,,1776,1813,3076,4789,12,,5,8
2007-11-26,4319,,3468,,,2987,,1778,1820,3075,4794,12,,5,7
2007-11-27,4322,,3475,,,3005,,1789,1812,3075,4796,12,,5,7
2007-11-28,4325,,3480,,,3002,,1789,1816,3083,4793,12,,5,10
2007-11-29,4297,,3485,,,3032,,1795,1816,3078,4801,12,,5,14
2007-11-30,4296,,3499,,,3049,,1778,1820,3079,4804,12,,5,11
2007-12-01,4293,,3498,,,3048,,1778,1816,3079,4803,12,,5,11
2007-12-02,4293,,3497,,,3046,,1778,1813,3079,4801,12,,5,11
2007-12-03,4297,,3504,,,3035,,1786,1818,3080,4804,12,,5,12
2007-12-04,4278,,3535,,,3046,,1756,1814,3086,4797,12,,5,8
2007-12-05,4291,,3529,,,3057,,1746,1816,3081,4799,12,,5,11
2007-12-06,4293,,3543,,,3041,,1763,1825,3082,4797,12,,5,11
2007-12-07,4307,,3524,,,3036,,1783,1819,3084,4801,12,,5,9
2007-12-08,4307,,3523,,,3035,,1783,1813,3082,4800,12,,5,10
2007-12-09,4307,,3526,,,3034,,1783,1813,3081,4800,12,,5,7
2007-12-10,4310,,3520,,,3043,,1819,1804,3079,4796,12,,5,8
2007-12-11,4304,,3553,,,3037,,1812,1805,3082,4794,12,,5,7
2007-12-12,4328,,3543,,,3051,,1800,1800,3077,4790,12,,5,8
2007-12-13,4346,,3544,,,3070,,1804,1787,3080,4791,12,,5,10
2007-12-14,4351,,3536,,,3062,,1811,1809,3083,4796,11,,5,7
2007-12-15,4349,,3532,,,3056,,1811,1807,3080,4794,11,,5,8
2007-12-16,4346,,3529,,,3057,,1811,1806,3080,4792,11,,5,7
2007-12-17,4335,,3543,,,3067,,1791,1801,3080,4794,11,,5,7
2007-12-18,4332,,3533,,,3070,,1775,1822,3082,4792,12,,5,8
2007-12-19,4350,,3501,,,3094,,1798,1823,3067,4789,12,,5,9
2007-12-20,4352,,3512,,,3076,,1769,1829,3075,4786,12,,5,5
2007-12-21,4352,,3454,,,3086,,1794,1827,3082,4796,12,,5,4
2007-12-22,4345,,3451,,,3083,,1794,1824,3079,4792,12,,5,4
2007-12-23,4344,,3449,,,3082,,1794,1822,3078,4789,12,,5,4
2007-12-24,4340,,3444,,,3077,,1795,1819,3076,4788,12,,5,4
2007-12-25,4337,,3444,,,3077,,1795,1816,3074,4787,12,,5,3
2007-12-26,4340,,3470,,,3082,,1768,1813,3073,4788,12,,5,4
2007-12-27,4339,,3490,,,3073,,1767,1827,3075,4793,12,,5,8
2007-12-28,4344,,3487,,,3072,,1752,1824,3083,4797,12,,5,6
2007-12-29,4342,,3484,,,3074,,1752,1820,3081,4794,12,,5,4
2007-12-30,4343,,3491,,,3073,,1752,1805,3081,4790,12,,5,5
2007-12-31,4340,,3493,,,3072,,1754,1801,3079,4789,12,,5,5
2008-01-01,4338,,3491,,,3073,,1755,1801,3078,4783,12,,5,5
2008-01-02,4335,,3496,,,3078,,1749,1798,3075,4779,12,,5,0
